Year	Collection_Year	Quarter	Plot	Trap	Deciduous	Flag_Deciduous	Pine	Flag_Pine	Rhododendron	Flag_Rhododendron	Other	Flag_Other	Twigs_25	Flag_Twigs_25	Twigs_25_10	Flag_Twigs_25_10	Lvs_Non_Rhodo	Flag_Lvs_Non_Rhodo	Total_Leaves	Flag_Total_Leaves	Total_Lvs_Other	Flag_Total_Lvs_Other	Comments
1994	1	3	527	H	NaN		NaN		0.00		NaN		NaN		NaN		235.21		235.21		NaN		
1994	1	3	527	I	NaN		NaN		0.07		NaN		NaN		NaN		222.18		222.24		NaN		
1994	1	3	527	J	NaN		NaN		0.00		NaN		NaN		NaN		276.99		276.99		NaN		
1995	1	4	118	A	NaN		NaN		0.00		NaN		NaN		NaN		11.86		11.86		NaN		
1995	1	4	118	B	NaN		NaN		0.00		NaN		NaN		NaN		6.74		6.74		NaN		
1995	1	4	118	C	NaN		NaN		0.00		NaN		NaN		NaN		8.53		8.53		NaN		
1995	1	4	118	D	NaN		NaN		0.00		NaN		NaN		NaN		4.60		4.60		NaN		
1995	1	4	118	E	NaN		NaN		0.00		NaN		NaN		NaN		5.69		5.69		NaN		
1995	1	4	118	F	NaN		NaN		0.00		NaN		NaN		NaN		4.15		4.15		NaN		
1995	1	4	118	G	NaN		NaN		0.00		NaN		NaN		NaN		6.26		6.26		NaN		
1995	1	4	118	H	NaN		NaN		0.00		NaN		NaN		NaN		6.19		6.19		NaN		
1995	1	4	118	I	NaN		NaN		0.00		NaN		NaN		NaN		9.76		9.76		NaN		
1995	1	4	118	J	NaN		NaN		0.00		NaN		NaN		NaN		13.48		13.48		NaN		
1995	1	4	218	A	NaN		NaN		0.00		NaN		NaN		NaN		0.10		0.10		NaN		
1995	1	4	218	B	NaN		NaN		0.00		NaN		NaN		NaN		0.03		0.03		NaN		
1995	1	4	218	C	NaN		NaN		0.00		NaN		NaN		NaN		1.66		1.66		NaN		
1995	1	4	218	D	NaN		NaN		0.00		NaN		NaN		NaN		0.73		0.73		NaN		
1995	1	4	218	E	NaN		NaN		0.00		NaN		NaN		NaN		0.21		0.21		NaN		
1995	1	4	218	F	NaN		NaN		0.00		NaN		NaN		NaN		0.61		0.61		NaN		
1995	1	4	218	G	NaN		NaN		0.00		NaN		NaN		NaN		0.03		0.03		NaN		
1995	1	4	218	H	NaN		NaN		0.00		NaN		NaN		NaN		6.93		6.93		NaN		
1995	1	4	218	I	NaN		NaN		0.00		NaN		NaN		NaN		1.71		1.71		NaN		
1995	1	4	218	J	NaN		NaN		0.00		NaN		NaN		NaN		0.03		0.03		NaN		
1995	1	4	318	A	NaN		NaN		0.88		NaN		NaN		NaN		0.47		1.34		NaN		
1995	1	4	318	B	NaN		NaN		0.17		NaN		NaN		NaN		0.18		0.35		NaN		
1995	1	4	318	C	NaN		NaN		0.02		NaN		NaN		NaN		0.00		0.02		NaN		
1995	1	4	318	D	NaN		NaN		0.90		NaN		NaN		NaN		0.34		1.23		NaN		
1995	1	4	318	E	NaN		NaN		0.27		NaN		NaN		NaN		0.00		0.27		NaN		
1995	1	4	318	F	NaN		NaN		0.44		NaN		NaN		NaN		0.65		1.09		NaN		
1995	1	4	318	G	NaN		NaN		0.00		NaN		NaN		NaN		1.07		1.07		NaN		
1995	1	4	318	H	NaN		NaN		0.27		NaN		NaN		NaN		0.35		0.63		NaN		
1995	1	4	318	I	NaN		NaN		0.00		NaN		NaN		NaN		2.33		2.33		NaN		
1995	1	4	318	J	NaN		NaN		0.29		NaN		NaN		NaN		0.00		0.29		NaN		
1995	1	4	427	A	NaN		NaN		0.00		NaN		NaN		NaN		0.58		0.58		NaN		
1995	1	4	427	B	NaN		NaN		0.10		NaN		NaN		NaN		0.95		1.05		NaN		
1995	1	4	427	C	NaN		NaN		0.62		NaN		NaN		NaN		0.44		1.05		NaN		
1995	1	4	427	D	NaN		NaN		1.40		NaN		NaN		NaN		0.36		1.76		NaN		
1995	1	4	427	E	NaN		NaN		1.01		NaN		NaN		NaN		0.33		1.34		NaN		
1995	1	4	427	F	NaN		NaN		3.60		NaN		NaN		NaN		0.05		3.65		NaN		
1995	1	4	427	G	NaN		NaN		0.00		NaN		NaN		NaN		0.12		0.12		NaN		
1995	1	4	427	H	NaN		NaN		1.85		NaN		NaN		NaN		1.62		3.46		NaN		
1995	1	4	427	I	NaN		NaN		2.96		NaN		NaN		NaN		0.65		3.61		NaN		
1995	1	4	427	J	NaN		NaN		0.00		NaN		NaN		NaN		1.07		1.07		NaN		
1995	1	4	527	A	NaN		NaN		0.00		NaN		NaN		NaN		0.38		0.38		NaN		
1995	1	4	527	B	NaN		NaN		0.00		NaN		NaN		NaN		0.13		0.13		NaN		
1995	1	4	527	C	NaN		NaN		0.18		NaN		NaN		NaN		0.00		0.18		NaN		
1995	1	4	527	D	NaN		NaN		0.00		NaN		NaN		NaN		0.95		0.95		NaN		
1995	1	4	527	E	NaN		NaN		0.00		NaN		NaN		NaN		0.00		0.00		NaN		
1995	1	4	527	F	NaN		NaN		0.00		NaN		NaN		NaN		0.00		0.00		NaN		
1995	1	4	527	G	NaN		NaN		0.00		NaN		NaN		NaN		1.33		1.33		NaN		
1995	1	4	527	H	NaN		NaN		0.00		NaN		NaN		NaN		0.00		0.00		NaN		
1995	1	4	527	I	NaN		NaN		0.17		NaN		NaN		NaN		0.32		0.49		NaN		
1995	1	4	527	J	NaN		NaN		0.00		NaN		NaN		NaN		0.36		0.36		NaN		
1995	2	1	118	A	NaN		NaN		0.00		NaN		NaN		NaN		30.10		30.10		NaN		
1995	2	1	118	B	NaN		NaN		0.00		NaN		NaN		NaN		14.95		14.95		NaN		
1995	2	1	118	C	NaN		NaN		0.00		NaN		NaN		NaN		31.49		31.49		NaN		
1995	2	1	118	D	NaN		NaN		0.00		NaN		NaN		NaN		7.93		7.93		NaN		
1995	2	1	118	E	NaN		NaN		0.00		NaN		NaN		NaN		32.65		32.65		NaN		
1995	2	1	118	F	NaN		NaN		0.00		NaN		NaN		NaN		18.05		18.05		NaN		
1995	2	1	118	G	NaN		NaN		0.00		NaN		NaN		NaN		22.95		22.95		NaN		
1995	2	1	118	H	NaN		NaN		0.00		NaN		NaN		NaN		12.60		12.60		NaN		
1995	2	1	118	I	NaN		NaN		0.00		NaN		NaN		NaN		16.63		16.63		NaN		
1995	2	1	118	J	NaN		NaN		0.00		NaN		NaN		NaN		16.13		16.13		NaN		
1995	2	1	218	A	NaN		NaN		0.00		NaN		NaN		NaN		2.92		2.92		NaN		
1995	2	1	218	B	NaN		NaN		0.00		NaN		NaN		NaN		3.49		3.49		NaN		
1995	2	1	218	C	NaN		NaN		0.00		NaN		NaN		NaN		5.64		5.64		NaN		
1995	2	1	218	D	NaN		NaN		0.00		NaN		NaN		NaN		2.88		2.88		NaN		
1995	2	1	218	E	NaN		NaN		0.00		NaN		NaN		NaN		3.73		3.73		NaN		
1995	2	1	218	F	NaN		NaN		0.00		NaN		NaN		NaN		5.08		5.08		NaN		
1995	2	1	218	G	NaN		NaN		0.00		NaN		NaN		NaN		3.76		3.76		NaN		
1995	2	1	218	H	NaN		NaN		0.00		NaN		NaN		NaN		9.02		9.02		NaN		
1995	2	1	218	I	NaN		NaN		0.00		NaN		NaN		NaN		4.64		4.64		NaN		
1995	2	1	218	J	NaN		NaN		0.00		NaN		NaN		NaN		4.99		4.99		NaN		
1995	2	1	318	A	NaN		NaN		1.80		NaN		NaN		NaN		1.63		3.44		NaN		
1995	2	1	318	B	NaN		NaN		3.76		NaN		NaN		NaN		1.53		5.29		NaN		
1995	2	1	318	C	NaN		NaN		6.33		NaN		NaN		NaN		1.42		7.75		NaN		
1995	2	1	318	D	NaN		NaN		8.26		NaN		NaN		NaN		4.94		13.20		NaN		
1995	2	1	318	E	NaN		NaN		0.00		NaN		NaN		NaN		5.79		5.79		NaN		
1995	2	1	318	F	NaN		NaN		2.76		NaN		NaN		NaN		4.68		7.44		NaN		
1995	2	1	318	G	NaN		NaN		0.61		NaN		NaN		NaN		1.96		2.57		NaN		
1995	2	1	318	H	NaN		NaN		3.40		NaN		NaN		NaN		3.41		6.81		NaN		
1995	2	1	318	I	NaN		NaN		1.15		NaN		NaN		NaN		2.51		3.66		NaN		
1995	2	1	318	J	NaN		NaN		3.45		NaN		NaN		NaN		4.14		7.59		NaN		
1995	2	1	427	A	NaN		NaN		3.09		NaN		NaN		NaN		1.15		4.24		NaN		
1995	2	1	427	B	NaN		NaN		2.22		NaN		NaN		NaN		0.72		2.94		NaN		
1995	2	1	427	C	NaN		NaN		5.86		NaN		NaN		NaN		0.63		6.49		NaN		
1995	2	1	427	D	NaN		NaN		1.50		NaN		NaN		NaN		1.30		2.80		NaN		
1995	2	1	427	E	NaN		NaN		1.77		NaN		NaN		NaN		2.08		3.86		NaN		
1995	2	1	427	F	NaN		NaN		4.59		NaN		NaN		NaN		1.04		5.63		NaN		
1995	2	1	427	G	NaN		NaN		5.48		NaN		NaN		NaN		1.64		7.12		NaN		
1995	2	1	427	H	NaN		NaN		1.90		NaN		NaN		NaN		14.58		16.48		NaN		
1995	2	1	427	I	NaN		NaN		4.93		NaN		NaN		NaN		3.23		8.16		NaN		
1995	2	1	427	J	NaN		NaN		1.73		NaN		NaN		NaN		0.89		2.61		NaN		
1995	2	1	527	A	NaN		NaN		0.00		NaN		NaN		NaN		5.14		5.14		NaN		
1995	2	1	527	B	NaN		NaN		0.00		NaN		NaN		NaN		2.64		2.64		NaN		
1995	2	1	527	C	NaN		NaN		0.00		NaN		NaN		NaN		1.48		1.48		NaN		
1995	2	1	527	D	NaN		NaN		0.00		NaN		NaN		NaN		0.93		0.93		NaN		
1995	2	1	527	E	NaN		NaN		0.00		NaN		NaN		NaN		1.05		1.05		NaN		
1995	2	1	527	F	NaN		NaN		0.00		NaN		NaN		NaN		0.27		0.27		NaN		
1995	2	1	527	G	NaN		NaN		0.00		NaN		NaN		NaN		0.86		0.86		NaN		
1995	2	1	527	H	NaN		NaN		0.00		NaN		NaN		NaN		1.64		1.64		NaN		
1995	2	1	527	I	NaN		NaN		0.17		NaN		NaN		NaN		0.76		0.92		NaN		
1995	2	1	527	J	NaN		NaN		0.00		NaN		NaN		NaN		0.47		0.47		NaN		
1995	2	2	118	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		131.91		NaN		
1995	2	2	118	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		26.24		NaN		
1995	2	2	118	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		64.33		NaN		
1995	2	2	118	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		53.21		NaN		
1995	2	2	118	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		44.21		NaN		
1995	2	2	118	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		19.99		NaN		
1995	2	2	118	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		19.76		NaN		
1995	2	2	118	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		42.47		NaN		
1995	2	2	118	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		41.47		NaN		
1995	2	2	118	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		68.89		NaN		
1995	2	2	218	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		8.38		NaN		
1995	2	2	218	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		9.19		NaN		
1995	2	2	218	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		10.05		NaN		
1995	2	2	218	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		15.77		NaN		
1995	2	2	218	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		33.86		NaN		
1995	2	2	218	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		18.46		NaN		
1995	2	2	218	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		10.05		NaN		
1995	2	2	218	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		12.44		NaN		
1995	2	2	218	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		9.20		NaN		
1995	2	2	218	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		8.28		NaN		
1995	2	2	318	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		14.95		NaN		
1995	2	2	318	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		21.15		NaN		
1995	2	2	318	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		30.62		NaN		
1995	2	2	318	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		19.49		NaN		
1995	2	2	318	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		36.81		NaN		
1995	2	2	318	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		28.73		NaN		
1995	2	2	318	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		12.76		NaN		
1995	2	2	318	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		32.39		NaN		
1995	2	2	318	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		39.59		NaN		
1995	2	2	318	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		38.10		NaN		
1995	2	2	427	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		21.30		NaN		
1995	2	2	427	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		29.19		NaN		
1995	2	2	427	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		46.21		NaN		
1995	2	2	427	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		22.17		NaN		
1995	2	2	427	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		39.80		NaN		
1995	2	2	427	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		18.67		NaN		
1995	2	2	427	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		38.45		NaN		
1995	2	2	427	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		32.25		NaN		
1995	2	2	427	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		17.99		NaN		
1995	2	2	427	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		20.17		NaN		
1995	2	2	527	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		14.62		NaN		
1995	2	2	527	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		53.89		NaN		
1995	2	2	527	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		20.81		NaN		
1995	2	2	527	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		40.76		NaN		
1995	2	2	527	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		29.06		NaN		
1995	2	2	527	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		23.60		NaN		
1995	2	2	527	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		32.42		NaN		
1995	2	2	527	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		24.39		NaN		
1995	2	2	527	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		22.91		NaN		
1995	2	2	527	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		19.22		NaN		
1995	2	3	118	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		205.03		NaN		
1995	2	3	118	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		235.95		NaN		
1995	2	3	118	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		183.37		NaN		
1995	2	3	118	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		158.19		NaN		
1995	2	3	118	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		138.34		NaN		
1995	2	3	118	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		190.14		NaN		
1995	2	3	118	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		132.24		NaN		
1995	2	3	118	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		140.66		NaN		
1995	2	3	118	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		262.26		NaN		
1995	2	3	118	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		282.71		NaN		
1995	2	3	218	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		223.98		NaN		
1995	2	3	218	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		258.20		NaN		
1995	2	3	218	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		233.47		NaN		
1995	2	3	218	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		224.82		NaN		
1995	2	3	218	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		268.41		NaN		
1995	2	3	218	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		225.03		NaN		
1995	2	3	218	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		227.94		NaN		
1995	2	3	218	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		281.00		NaN		
1995	2	3	218	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		206.12		NaN		
1995	2	3	218	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		91.73		NaN		
1995	2	3	318	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		269.70		NaN		
1995	2	3	318	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		256.51		NaN		
1995	2	3	318	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		335.65		NaN		
1995	2	3	318	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		323.01		NaN		
1995	2	3	318	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		362.78		NaN		
1995	2	3	318	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		352.68		NaN		
1995	2	3	318	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		340.14		NaN		
1995	2	3	318	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		290.90		NaN		
1995	2	3	318	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		345.44		NaN		
1995	2	3	318	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		330.48		NaN		
1995	2	3	427	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1995	2	3	427	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		269.56		NaN		
1995	2	3	427	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		321.24		NaN		
1995	2	3	427	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		250.53		NaN		
1995	2	3	427	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		325.76		NaN		
1995	2	3	427	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		279.94		NaN		
1995	2	3	427	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		311.19		NaN		
1995	2	3	427	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		278.03		NaN		
1995	2	3	427	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		248.79		NaN		
1995	2	3	427	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		271.32		NaN		
1995	2	3	527	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		301.67		NaN		
1995	2	3	527	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		279.66		NaN		
1995	2	3	527	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		159.99		NaN		
1995	2	3	527	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		191.91		NaN		
1995	2	3	527	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		186.59		NaN		
1995	2	3	527	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		155.85		NaN		
1995	2	3	527	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		188.17		NaN		
1995	2	3	527	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		212.29		NaN		
1995	2	3	527	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		244.32		NaN		
1995	2	3	527	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		260.43		NaN		
1996	2	4	118	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		15.71		NaN		
1996	2	4	118	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		9.94		NaN		
1996	2	4	118	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		5.45		NaN		
1996	2	4	118	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		5.33		NaN		
1996	2	4	118	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		13.26		NaN		
1996	2	4	118	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		5.77		NaN		
1996	2	4	118	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		4.03		NaN		
1996	2	4	118	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		9.81		NaN		
1996	2	4	118	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		12.74		NaN		
1996	2	4	118	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		13.61		NaN		
1996	2	4	218	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		0.12		NaN		
1996	2	4	218	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.18		NaN		
1996	2	4	218	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		6.31		NaN		
1996	2	4	218	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.40		NaN		
1996	2	4	218	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		2.84		NaN		
1996	2	4	218	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.54		NaN		
1996	2	4	218	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1996	2	4	218	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		34.35		NaN		
1996	2	4	218	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		0.43		NaN		
1996	2	4	218	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.38		NaN		
1996	2	4	318	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		4.83		NaN		
1996	2	4	318	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		5.71		NaN		
1996	2	4	318	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		2.76		NaN		
1996	2	4	318	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		4.46		NaN		
1996	2	4	318	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		11.63		NaN		
1996	2	4	318	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		13.19		NaN		
1996	2	4	318	G	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1996	2	4	318	H	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1996	2	4	318	I	NaN		NaN		NaN		NaN		NaN		NaN		NaN		10.76		NaN		
1996	2	4	318	J	NaN		NaN		NaN		NaN		NaN		NaN		NaN		9.04		NaN		
1996	2	4	427	A	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1996	2	4	427	B	NaN		NaN		NaN		NaN		NaN		NaN		NaN		2.51		NaN		
1996	2	4	427	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		1.90		NaN		
